"ID","firstname","lastname","player","playerURL","team","position","injury","status","date"
"1093","Aleksa","Avramovic","Aleksa Avramovic","/euro/player/aleksa-avramovic-1093","DUB","G","Undisclosed","Game Time Decision",2026-03-28
"1292","Kamar","Baldwin","Kamar Baldwin","/euro/player/kamar-baldwin-1292","BAY","G","Thigh","Game Time Decision",2026-03-28
"1378","Jilson","Bango","Jilson Bango","/euro/player/jilson-bango-1378","FBB","C","Knee","OUT",2026-03-28
"498","Tarik","Biberovic","Tarik Biberovic","/euro/player/tarik-biberovic-498","FBB","F","Undisclosed","Game Time Decision",2026-03-28
"708","Lorenzo","Brown","Lorenzo Brown","/euro/player/lorenzo-brown-708","EA7","G","Not Injury Related","OUT",2026-03-28
"998","Isaiah","Canaan","Isaiah Canaan","/euro/player/isaiah-canaan-998","CZV","G","Knee","OUT",2026-03-28
"1413","Brice","Dessert","Brice Dessert","/euro/player/brice-dessert-1413","EFS","C","Knee","Game Time Decision",2026-03-28
"973","Nenad","Dimitrijevic","Nenad Dimitrijevic","/euro/player/nenad-dimitrijevic-973","BAY","G","Thigh","Game Time Decision",2026-03-28
"1208","Khalifa","Diop","Khalifa Diop","/euro/player/khalifa-diop-1208","BKN","C","Knee","OUT",2026-03-28
"254","Bryant","Dunston","Bryant Dunston","/euro/player/bryant-dunston-254","EA7","C","Finger","OUT",2026-03-28
"1531","Amit","Ebo","Amit Ebo","/euro/player/amit-ebo-1531","MTA","G","Not Injury Related","Game Time Decision",2026-03-28
"548","Tyler","Ennis","Tyler Ennis","/euro/player/tyler-ennis-548","HTA","G","Achilles","OUT",2026-03-28
"972","Keenan","Evans","Keenan Evans","/euro/player/keenan-evans-972","OLY","G","Achilles","OUT",2026-03-28
"859","Moustapha","Fall","Moustapha Fall","/euro/player/moustapha-fall-859","OLY","C","Knee","OUT",2026-03-28
"791","Diego","Flaccadori","Diego Flaccadori","/euro/player/diego-flaccadori-791","EA7","G","Finger","OUT",2026-03-28
"1436","Tomer","Ginat","Tomer Ginat","/euro/player/tomer-ginat-1436","HTA","F","Knee","OUT",2026-03-28
"1006","Jerian","Grant","Jerian Grant","/euro/player/jerian-grant-1006","PAO","G","Hand","Game Time Decision",2026-03-28
"297","Elias","Harris","Elias Harris","/euro/player/elias-harris-297","BAY","C","Knee","OUT",2026-03-28
"1139","Markus","Howard","Markus Howard","/euro/player/markus-howard-1139","BKN","G","Thigh","OUT",2026-03-28
"1107","Mam","Jaiteh","Mam Jaiteh","/euro/player/mam-jaiteh-1107","DUB","C","Achilles","OUT",2026-03-28
"511","Mike","James","Mike James","/euro/player/mike-james-511","ASM","G","Hamstring","OUT",2026-03-28
"770","Tonye","Jekiri","Tonye Jekiri","/euro/player/tonye-jekiri-770","PAR","C","Knee","Game Time Decision",2026-03-28
"1488","Stefan","Joksimovic","Stefan Joksimovic","/euro/player/stefan-joksimovic-1488","BKN","F","Shoulder","Game Time Decision",2026-03-28
"656","Rokas","Jokubaitis","Rokas Jokubaitis","/euro/player/rokas-jokubaitis-656","BAY","G","Knee","OUT",2026-03-28
"594","Stefan","Jovic","Stefan Jovic","/euro/player/stefan-jovic-594","BAY","G","Illness","Game Time Decision",2026-03-28
"1309","Leon","Kratzer","Leon Kratzer","/euro/player/leon-kratzer-1309","BAY","C","Illness","Game Time Decision",2026-03-28
"678","Nicolas","Laprovittola","Nicolas Laprovittola","/euro/player/nicolas-laprovittola-678","BAR","G","Thigh","OUT",2026-03-28
"557","Shane","Larkin","Shane Larkin","/euro/player/shane-larkin-557","EFS","G","Groin","OUT",2026-03-28
"1405","Gur","Lavy","Gur Lavy","/euro/player/gur-lavy-1405","MTA","F","Knee","OUT",2026-03-28
"1446","T.J.","Leaf","T.J. Leaf","/euro/player/tj-leaf-1446","MTA","F","Shoulder","OUT",2026-03-28
"1353","Saben","Lee","Saben Lee","/euro/player/saben-lee-1353","EFS","G","Eye","Game Time Decision",2026-03-28
"1109","Xabi","Lopez-Arostegui","Xabi Lopez-Arostegui","/euro/player/xabi-lopez-arostegui-1109","VBC","G","Hamstring","Game Time Decision",2026-03-28
"928","Iffe","Lundberg","Iffe Lundberg","/euro/player/iffe-lundberg-928","MTA","G","Achilles","OUT",2026-03-28
"689","Vanja","Marinkovic","Vanja Marinkovic","/euro/player/vanja-marinkovic-689","PAR","F","Achilles","OUT",2026-03-28
"1402","Nate","Mason","Nate Mason","/euro/player/nate-mason-1402","DUB","G","Back","OUT",2026-03-28
"347","Nicolo","Melli","Nicolo Melli","/euro/player/nicolo-melli-347","FBB","F","Foot","OUT",2026-03-28
"1287","Jean","Montero","Jean Montero","/euro/player/jean-montero-1287","VBC","G","Hand","Game Time Decision",2026-03-28
"985","Donatas","Motiejunas","Donatas Motiejunas","/euro/player/donatas-motiejunas-985","CZV","C","Undisclosed","Game Time Decision",2026-03-28
"805","Mario","Nakic","Mario Nakic","/euro/player/mario-nakic-805","PAR","F","Knee","OUT",2026-03-28
"920","Juan","Nunez","Juan Nunez","/euro/player/juan-nunez-920","BAR","G","Knee","OUT",2026-03-28
"1437","Tai","Odiase","Tai Odiase","/euro/player/tai-odiase-1437","HTA","C","Undisclosed","Game Time Decision",2026-03-28
"1099","Alessandro","Pajola","Alessandro Pajola","/euro/player/alessandro-pajola-1099","VIR","G","Knee","OUT",2026-03-28
"550","Georgios","Papagiannis","Georgios Papagiannis","/euro/player/georgios-papagiannis-550","EFS","C","Knee","OUT",2026-03-28
"1199","Nikos","Rogkavopoulos","Nikos Rogkavopoulos","/euro/player/nikos-rogkavopoulos-1199","PAO","F","Hamstring","Game Time Decision",2026-03-28
"1084","Alexandros","Samodurov","Alexandros Samodurov","/euro/player/alexandros-samodurov-1084","PAO","F","Toe","Game Time Decision",2026-03-28
"613","Tadas","Sedekerskis","Tadas Sedekerskis","/euro/player/tadas-sedekerskis-613","BKN","F","Ankle","OUT",2026-03-28
"383","Itay","Segev","Itay Segev","/euro/player/itay-segev-383","HTA","C","Ribs","Game Time Decision",2026-03-28
"1382","Daniel","Theis","Daniel Theis","/euro/player/daniel-theis-1382","ASM","C","Personal","Game Time Decision",2026-03-28
"1441","Bastien","Vautier","Bastien Vautier","/euro/player/bastien-vautier-1441","ASV","C","Leg","Game Time Decision",2026-03-28
"1340","Duane","Washington","Duane Washington","/euro/player/duane-washington-1340","PAR","G","Calf","OUT",2026-03-28
"1438","Glynn","Watson","Glynn Watson","/euro/player/glynn-watson-1438","ASV","G","Shoulder","OUT",2026-03-28
